split_label,split,group,row_count,attr_brand_exact_match,attr_brand_token_jaccard,attr_title_edit_similarity,attr_title_token_jaccard,attr_title_numeric_overlap,attr_description_token_jaccard,attr_price_exact_match,attr_price_numeric_overlap,combined_edit_similarity,combined_token_jaccard,combined_numeric_overlap
seen,test_seen_000un,positive,500,0.092,0.09516666666666666,0.3761206114552601,0.2809062989754844,0.6916571428571429,0.07392638575537412,0.018,0.019,0.24357181617505277,0.16492811222492376,0.5233382973235914
seen,test_seen_000un,negative,4000,0.06175,0.06325,0.29112890198032015,0.1611297136522886,0.204390376984127,0.04056179156306467,0.004,0.006375,0.20076839934943164,0.0927579635670402,0.1822423042955316
seen,test_seen_000un,true_positive,350,0.10285714285714286,0.10547619047619047,0.3948491427243332,0.30465665119257906,0.8797006802721088,0.07606267254687271,0.025714285714285714,0.025714285714285714,0.24824091115275904,0.1729848206309225,0.6404272902634247
seen,test_seen_000un,false_positive,589,0.0967741935483871,0.100169779286927,0.39288174439329915,0.3028693286669555,0.7121654943811141,0.06517626195273638,0.013582342954159592,0.014431239388794566,0.2524973498169085,0.16231504493480486,0.5011891570040976
seen,test_seen_000un,true_negative,3411,0.05570214013485781,0.056874816769275874,0.2735585636099758,0.1366545939678445,0.11670947867078034,0.036311447658193184,0.0023453532688361184,0.004983875696276752,0.19183601828072921,0.08074708085651151,0.12716763521158397
seen,test_seen_000un,false_negative,150,0.06666666666666667,0.07111111111111111,0.3324207051607562,0.22548881046893027,0.2528888888888889,0.06894171657521074,0.0,0.0033333333333333335,0.23267726122707147,0.14612912594426009,0.25013064713064714
unseen,test_unseen_100un,positive,500,0.094,0.09883333333333333,0.4090634911967579,0.34761055950561515,0.7016595238095238,0.11316646501636635,0.054,0.06,0.2647298051069363,0.19503362082568793,0.533917522453392
unseen,test_unseen_100un,negative,4000,0.04925,0.05175833333333334,0.29395144398662515,0.1609645716698512,0.16498501984126984,0.05286022161109647,0.012,0.0195,0.2066829148962077,0.09785537434334678,0.16233617360264155
unseen,test_unseen_100un,true_positive,369,0.10298102981029811,0.10817524841915085,0.41837930206891105,0.36724243742191803,0.8759936766034327,0.11410285296349326,0.051490514905149054,0.058265582655826556,0.2616043506395134,0.1984834759783547,0.6163043385074138
unseen,test_unseen_100un,false_positive,454,0.07268722466960352,0.07606461086637298,0.4119214411272955,0.34081517954199014,0.7019509125235998,0.07703234066880614,0.03303964757709251,0.05286343612334802,0.2602520496220787,0.17846462348424358,0.5150294224285645
unseen,test_unseen_100un,true_negative,3546,0.046249294980259446,0.048646362098138746,0.27884755828389973,0.1379380133015627,0.09623642557229697,0.049765426898124056,0.009306260575296108,0.015228426395939087,0.1998243736763697,0.08753484441949817,0.11718029797743876
unseen,test_unseen_100un,false_negative,131,0.06870229007633588,0.07251908396946564,0.3828227720225249,0.29231160568030407,0.21059614685568884,0.11052885316529891,0.061068702290076333,0.0648854961832061,0.27353356616402813,0.18531608989947387,0.3018508421180177
