rank_by_test_average_precision,model_id,experiment_id,seeds,selected_thresholds,validation_average_precision_mean,validation_average_precision_std,test_average_precision_mean,test_average_precision_std,test_threshold_grid_pr_auc_mean,test_threshold_grid_pr_auc_std,test_precision_at_selected_threshold_mean,test_recall_at_selected_threshold_mean,test_f1_at_selected_threshold_mean
1,random_forest,wdc_unseen_rf_svm_fit_v1,"[13, 29, 47, 71, 101]","[0.32, 0.37, 0.4, 0.38, 0.33]",0.6315222836172033,0.008798154887796247,0.5063211072497819,0.004498085430516401,0.5056520070147552,0.0043500271359651855,0.46980980732376343,0.6952,0.5598631874163362
2,svm,wdc_unseen_rf_svm_fit_v1,"[13, 29, 47, 71, 101]","[0.31, 0.34, 0.32, 0.34, 0.34]",0.5855107296022849,1.5383175555795048e-05,0.49828342310310664,2.717614840984437e-05,0.49724205769911434,0.0003911025523506381,0.43678721061618153,0.6724,0.5295473051367368
3,logistic_regression,wdc_unseen_logistic_regression_fit_v1,"[13, 29, 47, 71, 101]","[0.66, 0.66, 0.66, 0.66, 0.66]",0.5631931524264235,0.0,0.46672395541280387,0.0,0.46562353144268254,0.0,0.45582047685834504,0.65,0.5358615004122012
