model_id,seed,seen_experiment_id,unseen_experiment_id,seen_threshold,unseen_threshold,seen_fp,unseen_fp,seen_minus_unseen_fp,seen_fn,unseen_fn,seen_minus_unseen_fn,seen_precision,unseen_precision,unseen_minus_seen_precision,seen_recall,unseen_recall,unseen_minus_seen_recall,seen_f1,unseen_f1,unseen_minus_seen_f1
logistic_regression,13,wdc_seen_baseline_fit_v1,wdc_unseen_logistic_regression_fit_v1,0.66,0.66,483,388,95,183,175,8,0.39625,0.45582047685834504,0.059570476858345045,0.634,0.65,0.016000000000000014,0.48769230769230765,0.5358615004122012,0.048169192719893505
logistic_regression,29,wdc_seen_baseline_fit_v1,wdc_unseen_logistic_regression_fit_v1,0.66,0.66,483,388,95,183,175,8,0.39625,0.45582047685834504,0.059570476858345045,0.634,0.65,0.016000000000000014,0.48769230769230765,0.5358615004122012,0.048169192719893505
logistic_regression,47,wdc_seen_baseline_fit_v1,wdc_unseen_logistic_regression_fit_v1,0.66,0.66,483,388,95,183,175,8,0.39625,0.45582047685834504,0.059570476858345045,0.634,0.65,0.016000000000000014,0.48769230769230765,0.5358615004122012,0.048169192719893505
logistic_regression,71,wdc_seen_baseline_fit_v1,wdc_unseen_logistic_regression_fit_v1,0.66,0.66,483,388,95,183,175,8,0.39625,0.45582047685834504,0.059570476858345045,0.634,0.65,0.016000000000000014,0.48769230769230765,0.5358615004122012,0.048169192719893505
logistic_regression,101,wdc_seen_baseline_fit_v1,wdc_unseen_logistic_regression_fit_v1,0.66,0.66,483,388,95,183,175,8,0.39625,0.45582047685834504,0.059570476858345045,0.634,0.65,0.016000000000000014,0.48769230769230765,0.5358615004122012,0.048169192719893505
random_forest,13,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.32,0.32,589,454,135,150,131,19,0.37273695420660274,0.44835965978128794,0.0756227055746852,0.7,0.738,0.038000000000000034,0.4864489228630993,0.5578231292517006,0.07137420638860131
random_forest,29,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.37,0.37,481,378,103,168,158,10,0.40836408364083643,0.475,0.06663591635916355,0.664,0.684,0.020000000000000018,0.5057121096725058,0.5606557377049181,0.05494362803241226
random_forest,47,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.4,0.4,425,335,90,179,172,7,0.43029490616621985,0.4947209653092006,0.06442605914298077,0.642,0.656,0.014000000000000012,0.5152487961476725,0.5640584694754943,0.04880967332782182
random_forest,71,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.38,0.38,480,370,110,171,161,10,0.40667490729295425,0.4781382228490832,0.07146331555612895,0.658,0.678,0.020000000000000018,0.5026737967914439,0.5607940446650124,0.05812024787356851
random_forest,101,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.33,0.33,553,435,118,151,140,11,0.3869179600886918,0.4528301886792453,0.06591222859055351,0.698,0.72,0.02200000000000002,0.49786019971469325,0.555984555984556,0.05812435626986273
svm,13,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.31,0.31,542,447,95,170,162,8,0.37844036697247707,0.4305732484076433,0.052132881435166256,0.66,0.676,0.016000000000000014,0.4810495626822157,0.5260700389105059,0.04502047622829014
svm,29,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.34,0.34,506,426,80,178,166,12,0.3888888888888889,0.4394736842105263,0.0505847953216374,0.644,0.668,0.02400000000000002,0.4849397590361446,0.5301587301587302,0.04521897112258555
svm,47,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.32,0.32,535,441,94,171,162,9,0.38078703703703703,0.4338896020539153,0.05310256501687827,0.658,0.676,0.018000000000000016,0.4824046920821114,0.5285379202501955,0.04613322816808413
svm,71,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.34,0.34,509,427,82,178,165,13,0.38748495788206977,0.43963254593175854,0.052147588049688776,0.644,0.67,0.026000000000000023,0.4838467317806161,0.5309033280507132,0.04705659627009706
svm,101,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,0.34,0.34,513,427,86,178,164,14,0.38562874251497004,0.44036697247706424,0.05473822996209421,0.644,0.672,0.028000000000000025,0.4823970037453183,0.5320665083135392,0.04966950456822089
