split_label,split,experiment_id,model_id,seed,threshold,row_count,positive_count,negative_count,hard_negative_count,hard_negative_negative_count,predicted_positive_count,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_negative_rate,false_positive_hard_negative_count,false_positive_hard_negative_rate,positive_score_mean,positive_score_std,negative_score_mean,negative_score_std,near_threshold_count,near_threshold_rate,negative_near_threshold_count,negative_near_threshold_rate
seen,test_seen_000un,wdc_seen_baseline_fit_v1,random_forest,13,0.32,4500,500,4000,3000,3000,939,350,589,3411,150,0.37273695420660274,0.7,0.4864489228630993,0.14725,0.3,586,0.9949066213921901,0.47642,0.2377742282081891,0.13907,0.18246488730712,308,0.06844444444444445,260,0.065
unseen,test_unseen_100un,wdc_unseen_rf_svm_fit_v1,random_forest,13,0.32,4500,500,4000,3000,3000,823,369,454,3546,131,0.44835965978128794,0.738,0.5578231292517006,0.1135,0.262,453,0.9977973568281938,0.48294,0.22395257622987952,0.120075,0.16916041018808153,264,0.058666666666666666,213,0.05325
