model_id,seen_experiment_id,unseen_experiment_id,seen_test_split,unseen_test_split,seen_f1_mean,unseen_f1_mean,unseen_minus_seen_f1,seen_precision_mean,unseen_precision_mean,unseen_minus_seen_precision,seen_recall_mean,unseen_recall_mean,unseen_minus_seen_recall,seen_f1_std,unseen_f1_std
random_forest,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,test_seen_000un,test_unseen_100un,0.501588765037883,0.5598631874163362,0.05827442237845326,0.40099776227906103,0.46980980732376343,0.0688120450447024,0.6724,0.6952,0.022800000000000042,0.0105817382226312,0.0030943756168219064
logistic_regression,wdc_seen_baseline_fit_v1,wdc_unseen_logistic_regression_fit_v1,test_seen_000un,test_unseen_100un,0.48769230769230765,0.5358615004122012,0.048169192719893505,0.39625,0.45582047685834504,0.059570476858345045,0.634,0.65,0.016000000000000014,0.0,0.0
svm,wdc_seen_baseline_fit_v1,wdc_unseen_rf_svm_fit_v1,test_seen_000un,test_unseen_100un,0.48292754986528125,0.5295473051367368,0.04661975527145551,0.38424599865908854,0.43678721061618153,0.05254121195709299,0.65,0.6724,0.022399999999999975,0.0014979633212609655,0.0023275127069483487
