model_id,seed_count,seen_fp_mean,unseen_fp_mean,seen_minus_unseen_fp_mean,seen_minus_unseen_fp_std,seen_fp_greater_seed_count,seen_fn_mean,unseen_fn_mean,seen_minus_unseen_fn_mean,seen_minus_unseen_fn_std,seen_fn_greater_seed_count,unseen_minus_seen_precision_mean,unseen_minus_seen_precision_std,unseen_precision_greater_seed_count,unseen_minus_seen_recall_mean,unseen_minus_seen_recall_std,unseen_recall_greater_seed_count,unseen_minus_seen_f1_mean,unseen_minus_seen_f1_std,unseen_f1_greater_seed_count
logistic_regression,5,483.0,388.0,95.0,0.0,5,183.0,175.0,8.0,0.0,5,0.059570476858345045,0.0,5,0.016000000000000014,0.0,5,0.048169192719893505,0.0,5
random_forest,5,505.6,394.4,111.2,15.038616957685969,5,163.8,152.4,11.4,4.029888335921977,5,0.0688120450447024,0.0041423586525868115,5,0.02280000000000002,0.00805977667184396,5,0.05827442237845333,0.007380058215142777,5
svm,5,521.0,433.6,87.4,6.118823416311342,5,175.0,163.8,11.2,2.3151673805580453,5,0.05254121195709298,0.0013631760722030244,5,0.02240000000000002,0.0046303347611160945,5,0.04661975527145555,0.0016880994723749727,5
